900 1682
820 850 782314
850 880 613400
11 41 750904
41 71 38276
71 101 325899
101 131 382624
131 161 911905
161 191 21802
191 221 419015
221 251 607676
251 281 12949
281 311 505256
311 341 104063
341 371 719038
371 401 522402
401 431 520521
431 461 71622
461 491 752147
491 521 802132
521 551 628100
551 581 8854
581 611 479162
611 641 247228
641 671 745675
671 701 736336
701 731 641743
731 761 261216
761 791 448676
791 821 803255
821 851 304001
851 881 604923
12 42 758367
42 72 757395
72 102 465762
102 132 839960
132 162 722361
162 192 92475
192 222 265756
222 252 1207
252 282 744147
282 312 8676
312 342 647761
342 372 523450
372 402 722821
402 432 292454
432 462 831673
462 492 75932
492 522 109433
522 552 325120
552 582 615079
582 612 802079
612 642 283540
642 672 404959
672 702 526372
702 732 656295
732 762 609732
762 792 517402
792 822 640206
822 852 393564
852 882 683670
13 43 603131
43 73 708664
73 103 624048
103 133 549664
133 163 582973
163 193 41871
193 223 836380
223 253 808245
253 283 768526
283 313 270905
313 343 22715
343 373 601261
373 403 884966
403 433 162997
433 463 466370
463 493 160239
493 523 401398
523 553 351661
553 583 777977
583 613 394845
613 643 736986
643 673 521717
673 703 821194
703 733 243814
733 763 863522
763 793 224615
793 823 595919
823 853 850074
853 883 414402
14 44 567811
44 74 680211
74 104 167526
104 134 341424
134 164 135067
164 194 300705
194 224 146935
224 254 508054
254 284 659625
284 314 406962
314 344 916563
344 374 818690
374 404 291814
404 434 420301
434 464 340529
464 494 748314
494 524 922442
524 554 732610
554 584 197923
584 614 605706
614 644 388226
644 674 304406
674 704 613387
704 734 256959
734 764 574135
764 794 287537
794 824 953095
824 854 537788
854 884 295936
15 45 707079
45 75 43219
75 105 472863
105 135 119543
135 165 407750
165 195 860460
195 225 593050
225 255 195230
255 285 224463
285 315 567075
315 345 21576
345 375 922708
375 405 168288
405 435 894958
435 465 770767
465 495 133211
495 525 182108
525 555 779985
555 585 280058
585 615 944908
615 645 246394
645 675 885754
675 705 802060
705 735 494668
735 765 212308
765 795 324676
795 825 211280
825 855 602789
855 885 666583
16 46 707360
46 76 229944
76 106 636915
106 136 893221
136 166 472476
166 196 310643
196 226 388659
226 256 33410
256 286 2592
286 316 920801
316 346 729702
346 376 681085
376 406 283151
406 436 587380
436 466 842252
466 496 835501
496 526 12915
526 556 799226
556 586 769151
586 616 837822
616 646 998468
646 676 53300
676 706 842911
706 736 656242
736 766 549821
766 796 905238
796 826 317602
826 856 17925
856 886 694922
17 47 535725
47 77 815557
77 107 433725
107 137 950782
137 167 163785
167 197 21434
197 227 114874
227 257 896756
257 287 553431
287 317 360855
317 347 90409
347 377 442211
377 407 789472
407 437 948138
437 467 226326
467 497 751387
497 527 12110
527 557 789240
557 587 225728
587 617 868742
617 647 507995
647 677 411656
677 707 581161
707 737 431185
737 767 738007
767 797 851415
797 827 260007
827 857 937263
857 887 33308
18 48 548946
48 78 362264
78 108 151563
108 138 968920
138 168 303763
168 198 75588
198 228 629534
228 258 356295
258 288 293536
288 318 925102
318 348 887932
348 378 610680
378 408 937953
408 438 409722
438 468 354653
468 498 638988
498 528 274608
528 558 120069
558 588 141628
588 618 296466
618 648 309378
648 678 542807
678 708 929030
708 738 91089
738 768 682563
768 798 102087
798 828 269693
828 858 867318
858 888 949287
19 49 333004
49 79 127718
79 109 694901
109 139 413406
139 169 405642
169 199 731312
199 229 137777
229 259 604222
259 289 278198
289 319 122995
319 349 210680
349 379 836634
379 409 852569
409 439 582981
439 469 981749
469 499 78132
499 529 232445
529 559 729849
559 589 583598
589 619 154856
619 649 259860
649 679 292453
679 709 440298
709 739 295317
739 769 639865
769 799 958359
799 829 65042
829 859 906741
859 889 701662
20 50 450198
50 80 443805
80 110 772168
110 140 951391
140 170 123043
170 200 586503
200 230 331815
230 260 86410
260 290 543946
290 320 741796
320 350 793424
350 380 274402
380 410 821807
410 440 486556
440 470 74576
470 500 498140
500 530 842776
530 560 313675
560 590 27243
590 620 378618
620 650 977267
650 680 169625
680 710 935476
710 740 206930
740 770 999434
770 800 589431
800 830 187638
830 860 126613
860 890 544273
21 51 76542
51 81 499816
81 111 69273
111 141 393840
141 171 752467
171 201 566855
201 231 202430
231 261 649020
261 291 459452
291 321 736642
321 351 840382
351 381 102539
381 411 473304
411 441 788870
441 471 311809
471 501 321288
501 531 986379
531 561 487439
561 591 988790
591 621 818916
621 651 496143
651 681 66606
681 711 354905
711 741 781871
741 771 204648
771 801 789916
801 831 20349
831 861 161194
861 891 346797
22 52 341593
52 82 565795
82 112 906411
112 142 777325
142 172 471963
172 202 15412
202 232 885358
232 262 140470
262 292 546264
292 322 473074
322 352 131060
352 382 385503
382 412 226317
412 442 91467
442 472 786251
472 502 19593
502 532 666539
532 562 783006
562 592 180981
592 622 80612
622 652 819410
652 682 406240
682 712 312814
712 742 939560
742 772 443599
772 802 484680
802 832 598774
832 862 270926
862 892 387319
23 53 37026
53 83 999901
83 113 689792
113 143 42382
143 173 131676
173 203 947830
203 233 669409
233 263 723876
263 293 921782
293 323 279966
323 353 700206
353 383 210797
383 413 440259
413 443 42223
443 473 373603
473 503 766136
503 533 502414
533 563 824276
563 593 8906
593 623 715381
623 653 956058
653 683 527017
683 713 765728
713 743 914298
743 773 812688
773 803 639690
803 833 774574
833 863 550129
863 893 14874
24 54 93386
54 84 683939
84 114 634394
114 144 890669
144 174 42935
174 204 63479
204 234 574674
234 264 176721
264 294 779197
294 324 431375
324 354 485948
354 384 226747
384 414 17866
414 444 329920
444 474 469373
474 504 539647
504 534 809232
534 564 60231
564 594 109124
594 624 580256
624 654 494070
654 684 133443
684 714 593397
714 744 754674
744 774 104478
774 804 986940
804 834 442120
834 864 598017
864 894 134345
25 55 267003
55 85 939070
85 115 863752
115 145 754546
145 175 807263
175 205 32627
205 235 919623
235 265 492891
265 295 341421
295 325 566867
325 355 902051
355 385 832094
385 415 671207
415 445 384286
445 475 915052
475 505 966067
505 535 90322
535 565 734508
565 595 524101
595 625 87158
625 655 860940
655 685 153415
685 715 956627
715 745 2937
745 775 31696
775 805 720151
805 835 24533
835 865 836475
865 895 207749
26 56 501950
56 86 372205
86 116 603510
116 146 951579
146 176 333784
176 206 147404
206 236 215587
236 266 284734
266 296 977021
296 326 193528
326 356 139040
356 386 146239
386 416 276467
416 446 133928
446 476 760735
476 506 795452
506 536 507261
536 566 313729
566 596 983800
596 626 285515
626 656 722760
656 686 804003
686 716 278117
716 746 406937
746 776 28692
776 806 480737
806 836 133830
836 866 764287
866 896 221747
27 57 134802
57 87 573963
87 117 136470
117 147 614700
147 177 491821
177 207 129011
207 237 387330
237 267 495201
267 297 241279
297 327 411469
327 357 913979
357 387 202779
387 417 183976
417 447 639995
447 477 929032
477 507 46232
507 537 887582
537 567 128970
567 597 690320
597 627 124704
627 657 197959
657 687 869510
687 717 656782
717 747 602772
747 777 742559
777 807 674748
807 837 981740
837 867 59750
867 897 470580
28 58 533466
58 88 107970
88 118 34457
118 148 559940
148 178 423290
178 208 96017
208 238 801025
238 268 109505
268 298 99397
298 328 982798
328 358 668946
358 388 792145
388 418 705635
418 448 769851
448 478 876981
478 508 122245
508 538 257158
538 568 488442
568 598 368277
598 628 472822
628 658 796227
658 688 323788
688 718 365449
718 748 324623
748 778 6740
778 808 890166
808 838 867744
838 868 43552
868 898 669224
29 59 356461
59 89 820218
89 119 442557
119 149 779203
149 179 847992
179 209 11348
209 239 722129
239 269 925201
269 299 11307
299 329 679049
329 359 349463
359 389 366136
389 419 430047
419 449 648425
449 479 920647
479 509 785297
509 539 42860
539 569 802765
569 599 606797
599 629 165148
629 659 134887
659 689 718091
689 719 103734
719 749 533164
749 779 958497
779 809 84403
809 839 494166
839 869 944710
869 899 459803
30 31 994269
31 32 198009
32 33 655647
33 34 6594
34 35 930477
35 36 656046
36 37 668040
37 38 539356
38 39 457233
39 40 522332
40 41 387578
41 42 973771
42 43 30282
43 44 919819
44 45 33612
45 46 922327
46 47 955110
47 48 254871
48 49 318531
49 50 996683
50 51 145888
51 52 307280
52 53 50621
53 54 280753
54 55 896397
55 56 341289
56 57 741716
57 58 126540
58 59 47266
60 61 617577
61 62 72806
62 63 721693
63 64 814513
64 65 940219
65 66 282518
66 67 533561
67 68 394972
68 69 732841
69 70 531447
70 71 342871
71 72 767185
72 73 234535
73 74 623385
74 75 554092
75 76 269828
76 77 536784
77 78 979285
78 79 538663
79 80 569475
80 81 302465
81 82 891335
82 83 302107
83 84 556616
84 85 226717
85 86 290667
86 87 155170
87 88 201137
88 89 234003
90 91 116602
91 92 402381
92 93 886915
93 94 781555
94 95 196245
95 96 277297
96 97 317862
97 98 558520
98 99 219733
99 100 368581
100 101 337489
101 102 719210
102 103 774704
103 104 886407
104 105 308240
105 106 725251
106 107 877559
107 108 188885
108 109 930816
109 110 126647
110 111 257663
111 112 435989
112 113 909640
113 114 477581
114 115 796907
115 116 198706
116 117 909698
117 118 673700
118 119 999582
120 121 574397
121 122 384126
122 123 636016
123 124 231239
124 125 343464
125 126 367260
126 127 587116
127 128 974297
128 129 135316
129 130 665206
130 131 845852
131 132 497333
132 133 652062
133 134 616291
134 135 903251
135 136 799376
136 137 445002
137 138 430406
138 139 309766
139 140 402579
140 141 95653
141 142 412381
142 143 333166
143 144 359443
144 145 517136
145 146 27431
146 147 928628
147 148 796862
148 149 249529
150 151 68556
151 152 55459
152 153 806027
153 154 859152
154 155 699650
155 156 102567
156 157 99503
157 158 185079
158 159 621927
159 160 986157
160 161 790799
161 162 634101
162 163 514107
163 164 393311
164 165 74843
165 166 94308
166 167 969125
167 168 691703
168 169 262949
169 170 794154
170 171 693124
171 172 826521
172 173 299725
173 174 997624
174 175 60426
175 176 580231
176 177 847895
177 178 697512
178 179 502503
180 181 367221
181 182 434121
182 183 934606
183 184 368925
184 185 995667
185 186 347766
186 187 463187
187 188 570061
188 189 242535
189 190 236987
190 191 967875
191 192 140176
192 193 10953
193 194 236503
194 195 664465
195 196 526045
196 197 343038
197 198 85893
198 199 657282
199 200 632199
200 201 875324
201 202 94590
202 203 932218
203 204 235907
204 205 767053
205 206 942910
206 207 889080
207 208 108702
208 209 722137
210 211 807787
211 212 462497
212 213 81155
213 214 175003
214 215 590033
215 216 934637
216 217 448883
217 218 671048
218 219 868397
219 220 537819
220 221 742819
221 222 402454
222 223 513674
223 224 456805
224 225 590218
225 226 657676
226 227 865360
227 228 868610
228 229 292173
229 230 893683
230 231 62005
231 232 900336
232 233 939365
233 234 824767
234 235 487584
235 236 555824
236 237 987242
237 238 238163
238 239 846808
240 241 37382
241 242 968399
242 243 106586
243 244 107688
244 245 63615
245 246 213491
246 247 91620
247 248 232585
248 249 728517
249 250 8454
250 251 444248
251 252 200376
252 253 140060
253 254 518592
254 255 444110
255 256 457406
256 257 337727
257 258 833645
258 259 947643
259 260 264741
260 261 481594
261 262 264497
262 263 564223
263 264 145751
264 265 663844
265 266 362925
266 267 500208
267 268 194574
268 269 278279
270 271 54928
271 272 682480
272 273 44504
273 274 767508
274 275 207267
275 276 993770
276 277 771559
277 278 17370
278 279 357190
279 280 900595
280 281 289744
281 282 425609
282 283 615883
283 284 569818
284 285 492755
285 286 158537
286 287 14852
287 288 891416
288 289 541394
289 290 487001
290 291 713161
291 292 862163
292 293 908693
293 294 437448
294 295 91867
295 296 91415
296 297 510767
297 298 649972
298 299 662165
300 301 244428
301 302 624831
302 303 19625
303 304 719406
304 305 273940
305 306 214804
306 307 118071
307 308 997608
308 309 454588
309 310 942980
310 311 457898
311 312 324883
312 313 327124
313 314 762500
314 315 158919
315 316 421788
316 317 51859
317 318 812261
318 319 851398
319 320 720259
320 321 22415
321 322 556408
322 323 313799
323 324 457822
324 325 246857
325 326 280414
326 327 365243
327 328 459217
328 329 190325
330 331 456511
331 332 58662
332 333 672745
333 334 170188
334 335 582964
335 336 143168
336 337 714063
337 338 464545
338 339 926256
339 340 662064
340 341 390622
341 342 481343
342 343 825948
343 344 386835
344 345 329274
345 346 557093
346 347 240825
347 348 878685
348 349 267312
349 350 480688
350 351 144800
351 352 806230
352 353 957248
353 354 180293
354 355 530019
355 356 679324
356 357 640730
357 358 635623
358 359 572750
360 361 857177
361 362 764686
362 363 93926
363 364 659100
364 365 8857
365 366 905982
366 367 690340
367 368 436956
368 369 415055
369 370 111600
370 371 687045
371 372 451037
372 373 703034
373 374 940485
374 375 199408
375 376 944909
376 377 828171
377 378 991546
378 379 628013
379 380 569079
380 381 462966
381 382 247548
382 383 910328
383 384 809237
384 385 215798
385 386 687460
386 387 683766
387 388 96023
388 389 765495
390 391 295077
391 392 616985
392 393 48712
393 394 140380
394 395 223872
395 396 697381
396 397 782302
397 398 304495
398 399 109572
399 400 744490
400 401 784855
401 402 748326
402 403 885452
403 404 989295
404 405 585244
405 406 211364
406 407 847190
407 408 499780
408 409 711406
409 410 384266
410 411 47077
411 412 388684
412 413 30466
413 414 60795
414 415 984785
415 416 205324
416 417 496475
417 418 184440
418 419 701547
420 421 993188
421 422 385397
422 423 78573
423 424 620212
424 425 934780
425 426 977149
426 427 168610
427 428 181542
428 429 724552
429 430 90606
430 431 568012
431 432 418439
432 433 174661
433 434 836372
434 435 409323
435 436 675914
436 437 545602
437 438 787778
438 439 165578
439 440 364362
440 441 821785
441 442 396342
442 443 744582
443 444 618584
444 445 249916
445 446 421594
446 447 658716
447 448 939854
448 449 842368
450 451 32250
451 452 217476
452 453 664337
453 454 806730
454 455 616006
455 456 886375
456 457 376680
457 458 568407
458 459 716885
459 460 984811
460 461 663497
461 462 568846
462 463 614971
463 464 765888
464 465 916173
465 466 397901
466 467 233448
467 468 794129
468 469 694990
469 470 620562
470 471 33350
471 472 331926
472 473 628855
473 474 561227
474 475 557168
475 476 353718
476 477 140811
477 478 440851
478 479 646543
480 481 311528
481 482 170086
482 483 361570
483 484 479690
484 485 470837
485 486 525983
486 487 87504
487 488 623255
488 489 620960
489 490 624584
490 491 670094
491 492 587386
492 493 119859
493 494 815366
494 495 148785
495 496 577659
496 497 533347
497 498 819292
498 499 994310
499 500 972416
500 501 762712
501 502 250809
502 503 582519
503 504 595974
504 505 899659
505 506 620348
506 507 234122
507 508 151278
508 509 187212
510 511 185522
511 512 334037
512 513 129963
513 514 968527
514 515 45654
515 516 611132
516 517 327163
517 518 452689
518 519 183957
519 520 652336
520 521 389958
521 522 641642
522 523 365824
523 524 906124
524 525 770635
525 526 340972
526 527 22597
527 528 238056
528 529 342002
529 530 549042
530 531 750759
531 532 585499
532 533 609366
533 534 428568
534 535 392886
535 536 514362
536 537 781624
537 538 98222
538 539 746039
540 541 33088
541 542 347940
542 543 668971
543 544 33091
544 545 376060
545 546 707688
546 547 180645
547 548 531788
548 549 103622
549 550 551854
550 551 548896
551 552 714245
552 553 311713
553 554 619127
554 555 801379
555 556 359484
556 557 355889
557 558 87651
558 559 234088
559 560 175103
560 561 482148
561 562 166704
562 563 854200
563 564 897708
564 565 270277
565 566 762712
566 567 705899
567 568 779832
568 569 5727
570 571 93086
571 572 103855
572 573 217085
573 574 945707
574 575 97827
575 576 67747
576 577 324731
577 578 440224
578 579 118682
579 580 248842
580 581 904859
581 582 466154
582 583 198029
583 584 910270
584 585 484944
585 586 400928
586 587 847197
587 588 266306
588 589 772167
589 590 94352
590 591 52314
591 592 51930
592 593 861729
593 594 896866
594 595 659326
595 596 536416
596 597 573016
597 598 108109
598 599 986244
600 601 525171
601 602 477152
602 603 969416
603 604 460136
604 605 297856
605 606 855070
606 607 868245
607 608 567494
608 609 945253
609 610 200393
610 611 360463
611 612 771623
612 613 532635
613 614 554314
614 615 855028
615 616 992315
616 617 756588
617 618 158745
618 619 923909
619 620 488055
620 621 620053
621 622 40913
622 623 459183
623 624 592486
624 625 678446
625 626 475345
626 627 250808
627 628 131622
628 629 321915
630 631 223304
631 632 77695
632 633 558434
633 634 931479
634 635 463964
635 636 447458
636 637 803081
637 638 350223
638 639 688279
639 640 714379
640 641 859603
641 642 923077
642 643 802817
643 644 842222
644 645 574554
645 646 354631
646 647 848210
647 648 387840
648 649 604509
649 650 146530
650 651 111265
651 652 199011
652 653 803895
653 654 610236
654 655 953310
655 656 606465
656 657 583045
657 658 71277
658 659 726986
660 661 318714
661 662 754825
662 663 203095
663 664 221091
664 665 204738
665 666 145531
666 667 834926
667 668 818212
668 669 38635
669 670 383431
670 671 624453
671 672 407006
672 673 639677
673 674 313312
674 675 154700
675 676 962830
676 677 694206
677 678 167401
678 679 784832
679 680 596407
680 681 731307
681 682 860243
682 683 690940
683 684 397083
684 685 446227
685 686 820508
686 687 584704
687 688 750771
688 689 133258
690 691 327133
691 692 66371
692 693 646283
693 694 462279
694 695 452357
695 696 738270
696 697 459851
697 698 928985
698 699 574887
699 700 630658
700 701 586301
701 702 680167
702 703 129379
703 704 195308
704 705 121325
705 706 937853
706 707 288619
707 708 772867
708 709 330400
709 710 248060
710 711 18093
711 712 578450
712 713 25588
713 714 847904
714 715 499512
715 716 519945
716 717 350015
717 718 566549
718 719 327947
720 721 365467
721 722 497327
722 723 318292
723 724 278731
724 725 415248
725 726 957778
726 727 946969
727 728 251484
728 729 659076
729 730 968250
730 731 343017
731 732 724577
732 733 825852
733 734 716591
734 735 282228
735 736 829726
736 737 606024
737 738 501519
738 739 99714
739 740 774085
740 741 457137
741 742 735055
742 743 729526
743 744 305844
744 745 220923
745 746 741984
746 747 861746
747 748 481271
748 749 302600
750 751 223422
751 752 603318
752 753 756680
753 754 130558
754 755 632999
755 756 27720
756 757 578424
757 758 288534
758 759 242592
759 760 470831
760 761 718228
761 762 730309
762 763 985023
763 764 754304
764 765 270138
765 766 400544
766 767 981532
767 768 928443
768 769 351736
769 770 921972
770 771 903204
771 772 982274
772 773 758018
773 774 912939
774 775 927706
775 776 878335
776 777 666413
777 778 520130
778 779 580133
780 781 523902
781 782 836119
782 783 448642
783 784 168715
784 785 660430
785 786 566134
786 787 616395
787 788 985015
788 789 874261
789 790 337805
790 791 487964
791 792 682040
792 793 142945
793 794 918607
794 795 346458
795 796 609344
796 797 389885
797 798 661167
798 799 672595
799 800 975915
800 801 32511
801 802 145475
802 803 513513
803 804 889242
804 805 625847
805 806 322251
806 807 184246
807 808 419760
808 809 364774
810 811 137799
811 812 245122
812 813 65087
813 814 48194
814 815 794454
815 816 508653
816 817 553411
817 818 927752
818 819 245050
819 820 691877
820 821 99
821 822 523521
822 823 64260
823 824 200451
824 825 882927
825 826 519084
826 827 810478
827 828 93347
828 829 673933
829 830 36877
830 831 136696
831 832 427354
832 833 625884
833 834 464957
834 835 990203
835 836 410093
836 837 673454
837 838 331507
838 839 167342
840 841 577160
841 842 47263
842 843 150986
843 844 794584
844 845 477966
845 846 53101
846 847 205606
847 848 835731
848 849 801261
849 850 427456
850 851 719638
851 852 751727
852 853 726439
853 854 725186
854 855 608872
855 856 140965
856 857 293448
857 858 824855
858 859 12748
859 860 337639
860 861 455149
861 862 340438
862 863 724662
863 864 997481
864 865 794810
865 866 927504
866 867 54438
867 868 496852
868 869 303230
