140 2485
383454 410343 135029163
383454 350003 180216789
383454 183722 121991361
383454 25815 166919488
383454 146499 161053015
383454 331850 167163877
383454 437632 139497440
383454 359467 62791009
383454 53976 222437989
383454 38562 229053394
383454 63560 145359427
383454 364093 152362274
383454 125212 122269701
383454 465220 60091022
383454 353440 32154807
383454 261571 63870126
383454 281547 142907572
383454 465183 69654649
383454 28466 165010407
383454 418674 154526475
383454 99331 134577485
383454 187031 168769299
383454 245489 69693607
383454 66773 177863536
383454 15755 183683090
383454 152740 174818517
383454 485535 64136035
383454 343140 136136559
383454 139455 175990093
383454 145672 193239213
383454 92777 147327539
383454 266397 77660485
383454 342722 47131418
383454 99002 159538753
383454 148835 117365921
383454 423917 50263715
281627 388675 55100289
281627 486445 164501227
281627 477015 97162672
281627 250350 73783725
281627 415616 114315559
281627 456692 84630702
281627 458687 83454007
281627 353409 127962844
281627 162518 67140410
281627 454183 141395584
281627 11816 179660790
281627 362528 135734851
281627 24321 155707919
281627 76809 136012971
281627 434850 78180461
281627 122181 92978224
281627 260686 23629208
281627 219297 32745338
281627 24028 119233145
281627 432537 151454385
281627 135402 73206143
281627 462121 92457692
281627 454344 103653668
281627 107234 88840561
281627 343055 66435681
281627 221979 56092836
281627 133719 101589580
281627 349305 81810596
281627 252641 134812284
281627 410343 68430911
281627 350003 83029299
281627 183722 58160896
281627 25815 178215368
281627 146499 62761961
281627 331850 65668058
281627 437632 80015964
281627 359467 58408744
281627 53976 117456279
281627 38562 121802542
281627 63560 151601214
281627 364093 61156952
281627 125212 146492007
281627 465220 107647975
281627 353440 139134634
281627 261571 78122013
281627 281547 27818493
281627 465183 101500025
281627 28466 143997706
281627 418674 84759883
281627 99331 157530471
281627 187031 55067067
281627 245489 87017119
281627 66773 100632815
281627 15755 129468801
281627 152740 68120794
281627 485535 117268135
281627 343140 42483800
281627 139455 71197481
281627 145672 83063410
281627 92777 104430408
281627 266397 55701421
281627 342722 70132985
281627 99002 87205701
281627 148835 94419130
281627 423917 91701275
388675 486445 155608699
388675 477015 63983737
388675 250350 110349454
388675 415616 108583867
388675 456692 51170936
388675 458687 34281750
388675 353409 140318910
388675 162518 108923888
388675 454183 133572170
388675 11816 226466255
388675 362528 145677328
388675 24321 204626037
388675 76809 184639217
388675 434850 25263264
388675 122181 143796329
388675 260686 72742828
388675 219297 77926692
388675 24028 169290408
388675 432537 148307767
388675 135402 126218219
388675 462121 41279839
388675 454344 52871325
388675 107234 131435239
388675 343055 47737697
388675 221979 85668363
388675 133719 133435335
388675 349305 59359802
388675 252641 166427719
388675 410343 17533842
388675 350003 60578505
388675 183722 110414154
388675 25815 225020833
388675 146499 111440073
388675 331850 52467948
388675 437632 28838111
388675 359467 64190168
388675 53976 159419947
388675 38562 163766210
388675 63560 198406679
388675 364093 32723990
388675 125212 189277380
388675 465220 83452956
388675 353440 150636148
388675 261571 112923192
388675 281547 52955426
388675 465183 76440184
388675 28466 194815811
388675 418674 38393268
388675 99331 200315844
388675 187031 96994046
388675 245489 122498596
388675 66773 153644891
388675 15755 182480877
388675 152740 110573616
388675 485535 93073116
388675 343140 25821812
388675 139455 115615548
388675 145672 120051896
388675 92777 156683666
388675 266397 92546397
388675 342722 84558332
388675 99002 140217777
388675 148835 142795925
388675 423917 81853996
486445 477015 104881079
486445 250350 130083687
486445 415616 55138495
486445 456692 112975221
486445 458687 147687393
486445 353409 61637872
486445 162518 229313837
486445 454183 27125505
486445 11816 212139046
486445 362528 57034168
486445 24321 211370396
486445 76809 188996649
486445 434850 159153207
486445 122181 191975570
486445 260686 158792647
486445 219297 193183904
486445 24028 257621233
486445 432537 24726259
486445 135402 198444216
486445 462121 169126633
486445 454344 191411000
486445 107234 244156677
486445 343055 201675387
486445 221979 220594063
486445 133719 265386437
486445 349305 213297492
486445 252641 105012601
486445 410343 164659476
486445 350003 214516195
486445 183722 176376164
486445 25815 206142425
486445 146499 215045836
486445 331850 206405638
486445 437632 165273879
486445 359467 107562537
486445 53976 276430810
486445 38562 283046215
486445 63560 195539113
486445 364093 186661680
486445 125212 163144570
486445 465220 73255291
486445 353440 60161548
486445 261571 120644124
486445 281547 189729897
486445 465183 84172079
486445 28466 215216281
486445 418674 182853320
486445 99331 173626640
486445 187031 218875122
486445 245489 125706624
486445 66773 232248339
486445 15755 237799108
486445 152740 227512730
486445 485535 69132491
486445 343140 176557045
486445 139455 229982914
486445 145672 245236837
486445 92777 202280461
486445 266397 132045288
486445 342722 100969900
486445 99002 213923556
486445 148835 172318843
486445 423917 76985481
477015 250350 113678098
477015 415616 74111751
477015 456692 14101059
477015 458687 44152788
477015 353409 116388950
477015 162518 162829247
477015 454183 88210854
477015 11816 237224940
477015 362528 118203517
477015 24321 217855597
477015 76809 195459410
477015 434850 58054440
477015 122181 162409518
477015 260686 101014301
477015 219297 128917501
477015 24028 210370828
477015 432537 109560920
477015 135402 154370412
477015 462121 65641507
477015 454344 88884174
477015 107234 184561646
477015 343055 106209588
477015 221979 143855020
477015 133719 191584854
477015 349305 117831693
477015 252641 153447436
477015 410343 65109132
477015 350003 119050396
477015 183722 134619866
477015 25815 234214227
477015 146499 157150739
477015 331850 110939839
477015 437632 63302848
477015 359467 56599197
477015 53976 213145116
477015 38562 217491379
477015 63560 209165364
477015 364093 91195881
477015 125212 193779639
477015 465220 36223820
477015 353440 123340919
477015 261571 112513808
477015 281547 109003401
477015 465183 23717709
477015 28466 211016426
477015 418674 83097492
477015 99331 205258726
477015 187031 150719215
477015 245489 123663356
477015 66773 188282603
477015 15755 210205341
477015 152740 164298785
477015 485535 39533238
477015 343140 87609828
477015 139455 167389364
477015 145672 176508355
477015 92777 176824901
477015 266397 100392361
477015 342722 71831397
477015 99002 171298375
477015 148835 156475103
477015 423917 45345713
250350 415616 81917225
250350 456692 107251261
250350 458687 129437731
250350 353409 72567394
250350 162518 114768684
250350 454183 107749373
250350 11816 123592856
250350 362528 81059935
250350 24321 107828152
250350 76809 85431965
250350 434850 130020720
250350 122181 64869801
250350 260686 51828315
250350 219297 85380899
250350 24028 130862641
250350 432537 105701559
250350 135402 72951435
250350 462121 146449219
250350 454344 161326267
250350 107234 123368143
250350 343055 133903171
250350 221979 123035195
250350 133719 150841284
250350 349305 149580861
250350 252641 62552483
250350 410343 125988784
250350 350003 150799564
250350 183722 53047594
250350 25815 120540176
250350 146499 94257302
250350 331850 134830699
250350 437632 136046628
250350 359467 57470452
250350 53976 155599709
250350 38562 162257681
250350 63560 95533280
250350 364093 128624442
250350 125212 81240475
250350 465220 98804121
250350 353440 80256305
250350 261571 9439563
250350 281547 99823019
250350 465183 98376551
250350 28466 100988981
250350 418674 147361390
250350 99331 92278939
250350 187031 110361078
250350 245489 13807527
250350 66773 105489747
250350 15755 113835026
250350 152740 108833815
250350 485535 108631823
250350 343140 109072222
250350 139455 109769669
250350 145672 130691684
250350 92777 77479475
250350 266397 19169804
250350 342722 43214292
250350 99002 87164964
250350 148835 48572341
250350 423917 81101697
415616 456692 76343626
415616 458687 110710422
415616 353409 44998176
415616 162518 178170822
415616 454183 28958056
415616 11816 184281678
415616 362528 46115435
415616 24321 174017247
415616 76809 151643500
415616 434850 120233745
415616 122181 144660709
415616 260686 107649632
415616 219297 142040889
415616 24028 205496536
415616 432537 41004204
415616 135402 146319519
415616 462121 131194922
415616 454344 153479289
415616 107234 191866711
415616 343055 154650555
415616 221979 170408395
415616 133719 214243422
415616 349305 166272660
415616 252641 86433016
415616 410343 122303737
415616 350003 167491363
415616 183722 124251467
415616 25815 179772213
415616 146499 162755870
415616 331850 158095589
415616 437632 126403084
415616 359467 57376869
415616 53976 224140844
415616 38562 230756249
415616 63560 158212152
415616 364093 139636848
415616 125212 135122426
415616 465220 40893403
415616 353440 51252837
415616 261571 73005008
415616 281547 140072235
415616 465183 51126229
415616 28466 176822524
415616 418674 141801049
415616 99331 147430210
415616 187031 167732107
415616 245489 78828489
415616 66773 180123642
415616 15755 192817972
415616 152740 176369715
415616 485535 44938416
415616 343140 126899383
415616 139455 177692948
415616 145672 194093822
415616 92777 156462421
415616 266397 79920591
415616 342722 48681495
415616 99002 161798859
415616 148835 126500803
415616 423917 34457095
456692 458687 34779853
456692 353409 116828447
456692 162518 148728188
456692 454183 93627253
456692 11816 230770059
456692 362528 119987074
456692 24321 211400716
456692 76809 189004529
456692 434850 47117931
456692 122181 155285813
456692 260686 91105569
456692 219297 115560618
456692 24028 200849408
456692 432537 112251587
456692 135402 144915405
456692 462121 56219093
456692 454344 78503460
456692 107234 171059349
456692 343055 94924323
456692 221979 129753961
456692 133719 177483795
456692 349305 106546428
456692 252641 150654510
456692 410343 54145400
456692 350003 107765131
456692 183722 127496161
456692 25815 227787390
456692 146499 146617208
456692 331850 99654574
456692 437632 52366339
456692 359467 50144316
456692 53976 199044057
456692 38562 203390320
456692 63560 202710483
456692 364093 79910616
456692 125212 188225812
456692 465220 41780636
456692 353440 125124476
456692 261571 108347068
456692 281547 94902342
456692 465183 30019382
456692 28466 204561545
456692 418674 72133760
456692 99331 199288553
456692 187031 136618156
456692 245489 118358123
456692 66773 178827596
456692 15755 202684787
456692 152740 150197726
456692 485535 47713969
456692 343140 73508769
456692 139455 154012761
456692 145672 162407296
456692 92777 169701196
456692 266397 93937480
456692 342722 68813815
456692 99002 161843368
456692 148835 149508344
456692 423917 46081869
458687 353409 148026194
458687 162518 140189471
458687 454183 128180233
458687 11816 247831419
458687 362528 152449250
458687 24321 227647582
458687 76809 206065889
458687 434850 17645545
458687 122181 168033463
458687 260686 99161148
458687 219297 108644404
458687 24028 200008120
458687 432537 146618383
458687 135402 153430886
458687 462121 22606643
458687 454344 45849310
458687 107234 162520632
458687 343055 70960592
458687 221979 117331373
458687 133719 164284413
458687 349305 79698692
458687 252641 178421493
458687 410343 29801261
458687 350003 80917395
458687 183722 137499699
458687 25815 246385997
458687 146499 142157785
458687 331850 75690843
458687 437632 21352388
458687 359467 72330786
458687 53976 190505340
458687 38562 194851603
458687 63560 219771843
458687 364093 55946885
458687 125212 210374100
458687 465220 76492808
458687 353440 157408070
458687 261571 130969189
458687 281547 84967173
458687 465183 64731554
458687 28466 219052945
458687 418674 42475590
458687 99331 221412564
458687 187031 128079439
458687 245489 140544593
458687 66773 182677067
458687 15755 211200268
458687 152740 141659009
458687 485535 82426141
458687 343140 57261598
458687 139455 146333260
458687 145672 151714906
458687 92777 182577376
458687 266397 111821188
458687 342722 92698950
458687 99002 169249953
458687 148835 165303302
458687 423917 78504631
353409 162518 183287146
353409 454183 48823995
353409 11816 158255663
353409 362528 8896416
353409 24321 150335240
353409 76809 127961493
353409 434850 152481149
353409 122181 131110529
353409 260686 113885078
353409 219297 149387873
353409 24028 198926802
353409 432537 36930616
353409 135402 144725632
353409 462121 166224545
353409 454344 185468417
353409 107234 195142340
353409 343055 180979925
353409 221979 184055680
353409 133719 219359746
353409 349305 195952403
353409 252641 50725385
353409 410343 154038780
353409 350003 197171106
353409 183722 124821791
353409 25815 153181315
353409 146499 166031499
353409 331850 182668540
353409 437632 158507057
353409 359467 79801669
353409 53976 227373906
353409 38562 234031878
353409 63560 134503957
353409 364093 169638103
353409 125212 108188816
353409 465220 84132003
353409 353440 11663408
353409 261571 63479771
353409 281547 155407101
353409 465183 93695630
353409 28466 154181125
353409 418674 173536092
353409 99331 119929772
353409 187031 175576675
353409 245489 64841583
353409 66773 176580802
353409 15755 176763952
353409 152740 179883401
353409 485535 86578144
353409 343140 152496754
353409 139455 181054977
353409 145672 199210146
353409 92777 141415420
353409 266397 81624098
353409 342722 61546711
353409 99002 158256019
353409 148835 111453802
353409 423917 73882834
162518 454183 205167460
162518 11816 171722879
162518 362528 191059153
162518 24321 145520673
162518 76809 131384510
162518 434850 126672803
162518 122181 87740566
162518 260686 74198724
162518 219297 38061716
162518 24028 75071763
162518 432537 213077036
162518 135402 62084501
162518 462121 139918791
162518 454344 136243733
162518 107234 26140435
162518 343055 87059506
162518 221979 30486851
162518 133719 37877475
162518 349305 94654026
162518 252641 172688063
162518 410343 116806003
162518 350003 95872729
162518 183722 66772284
162518 25815 170277457
162518 146499 29676241
162518 331850 82456707
162518 437632 128508306
162518 359467 123221354
162518 53976 52134922
162518 38562 56481185
162518 63560 148460303
162518 364093 94852721
162518 125212 160677003
162518 465220 174505221
162518 353440 192712943
162518 261571 123894786
162518 281547 58128170
162518 465183 167492449
162518 28466 128728673
162518 418674 118529786
162518 99331 167472347
162518 187031 14266489
162518 245489 125902752
162518 66773 67369443
162518 15755 103107640
162518 152740 9647908
162518 485535 184125381
162518 343140 85454185
162518 139455 17104522
162518 145672 17727875
162518 92777 89236772
162518 266397 102650898
162518 342722 131655202
162518 99002 66989063
162518 148835 102738033
162518 423917 157746200
454183 11816 202875373
454183 362528 47921023
454183 24321 192610942
454183 76809 170237195
454183 434850 137868933
454183 122181 170485689
454183 260686 134912867
454183 219297 170078261
454183 24028 231356171
454183 432537 21715561
454183 135402 172179154
454183 462121 148830110
454183 454344 171114477
454183 107234 218283597
454183 343055 179638858
454183 221979 197488420
454183 133719 241240060
454183 349305 191260963
454183 252641 98561951
454183 410343 142676391
454183 350003 192479666
454183 183722 150111102
454183 25815 198365908
454183 146499 189172756
454183 331850 184369109
454183 437632 144038272
454183 359467 84456894
454183 53976 250557730
454183 38562 257173135
454183 63560 176805847
454183 364093 164625151
454183 125212 153693726
454183 465220 54371980
454183 353440 52846365
454183 261571 98309810
454183 281547 166624254
454183 465183 66018281
454183 28466 196456827
454183 418674 160870235
454183 99331 165434682
454183 187031 195769479
454183 245489 104133291
454183 66773 205983277
454183 15755 217146131
454183 152740 202938258
454183 485535 52488325
454183 343140 153451402
454183 139455 204109834
454183 145672 221090460
454183 92777 180790580
454183 266397 105780226
454183 342722 74704838
454183 99002 187658494
454183 148835 150828962
454183 423917 53879838
11816 362528 160193966
11816 24321 30153254
11816 76809 45045362
11816 434850 248227894
11816 122181 90344494
11816 260686 160382285
11816 219297 165484368
11816 24028 122455805
11816 432537 188640561
11816 135402 114566242
11816 462121 264656393
11816 454344 277443068
11816 107234 158761146
11816 343055 240059172
11816 221979 195549639
11816 133719 196549755
11816 349305 252001085
11816 252641 110310384
11816 410343 242105585
11816 350003 253219788
11816 183722 121984996
11816 25815 6284112
11816 146499 144493920
11816 331850 236789542
11816 437632 253409854
11816 359467 180989250
11816 53976 174373969
11816 38562 176404583
11816 63560 29286231
11816 364093 239853126
11816 125212 53895020
11816 465220 219929970
11816 353440 155116047
11816 261571 125778445
11816 281547 197309666
11816 465183 221965360
11816 28466 47742738
11816 418674 258956385
11816 99331 39963177
11816 187031 173743076
11816 245489 116787087
11816 66773 109946138
11816 15755 82822347
11816 152740 163078570
11816 485535 225790751
11816 343140 220441911
11816 139455 156948501
11816 145672 182281036
11816 92777 83921742
11816 266397 137180678
11816 342722 166803101
11816 99002 107609554
11816 148835 86565879
11816 423917 203799643
362528 24321 158827781
362528 76809 136454034
362528 434850 157839567
362528 122181 139603070
362528 260686 121657085
362528 219297 157159880
362528 24028 207419343
362528 432537 32407485
362528 135402 153218173
362528 462121 171516367
362528 454344 190826835
362528 107234 203000747
362528 343055 186813573
362528 221979 191827687
362528 133719 227131753
362528 349305 201786051
362528 252641 53067521
362528 410343 159397198
362528 350003 203004754
362528 183722 133314332
362528 25815 154197345
362528 146499 173889906
362528 331850 188502188
362528 437632 163865475
362528 359467 85635317
362528 53976 235274880
362528 38562 241890285
362528 63560 141839594
362528 364093 175471751
362528 125212 111199490
362528 465220 83855119
362528 353440 5601334
362528 261571 71972312
362528 281547 163179108
362528 465183 95205469
362528 28466 162673666
362528 418674 178894510
362528 99331 121681560
362528 187031 183348682
362528 245489 73334124
362528 66773 185073343
362528 15755 185256493
362528 152740 187655408
362528 485535 85675172
362528 343140 158330402
362528 139455 188826984
362528 145672 206982153
362528 92777 149907961
362528 266397 89396105
362528 342722 68400795
362528 99002 166748560
362528 148835 119946343
362528 423917 76565558
24321 76809 24137072
24321 434850 227812834
24321 122181 65476107
24321 260686 136721286
24321 219297 139282162
24321 24028 93530286
24321 432537 186663140
24321 135402 88364036
24321 462121 242993195
24321 454344 254189171
24321 107234 129600116
24321 343055 214418399
24321 221979 169347433
24321 133719 167388725
24321 349305 225966859
24321 252641 114625799
24321 410343 218966414
24321 350003 227185562
24321 183722 97834322
24321 25815 29791098
24321 146499 118291714
24321 331850 210755316
24321 437632 230551467
24321 359467 161619907
24321 53976 144408519
24321 38562 147341118
24321 63560 22223466
24321 364093 216073672
24321 125212 55977502
24321 465220 205273623
24321 353440 157903831
24321 261571 112128452
24321 281547 172351780
24321 465183 204846053
24321 28466 17777288
24321 418674 235295386
24321 99331 47903237
24321 187031 147540870
24321 245489 103402282
24321 66773 80785108
24321 15755 53912000
24321 152740 136876364
24321 485535 214353613
24321 343140 196780912
24321 139455 130746295
24321 145672 156078830
24321 92777 57719536
24321 266397 117811335
24321 342722 149683794
24321 99002 81407348
24321 148835 64640914
24321 423917 187571199
76809 434850 206462364
76809 122181 46939703
76809 260686 116734466
76809 219297 122181967
76809 24028 93595934
76809 432537 164289393
76809 135402 73183990
76809 462121 222890863
76809 454344 234202351
76809 107234 120127008
76809 343055 196411353
76809 221979 155069706
76809 133719 157915617
76809 349305 208353266
76809 252641 94918184
76809 410343 198979594
76809 350003 209571969
76809 183722 78337177
76809 25815 43599940
76809 146499 104155551
76809 331850 193141723
76809 437632 210564647
76809 359467 139223720
76809 53976 138706922
76809 38562 142339054
76809 63560 17075793
76809 364093 196205307
76809 125212 42674271
76809 465220 182877436
76809 353440 135530084
76809 261571 89275395
76809 281547 153661847
76809 465183 182449866
76809 28466 28906112
76809 418674 215308566
76809 99331 41539757
76809 187031 133404707
76809 245489 80549225
76809 66773 74031764
76809 15755 56966853
76809 152740 122740201
76809 485535 191979866
76809 343140 176794092
76809 139455 116610132
76809 145672 141942667
76809 92777 43583373
76809 266397 95415148
76809 342722 127287607
76809 99002 67271185
76809 148835 43397299
76809 423917 165175012
434850 122181 166983126
434850 260686 95823000
434850 219297 101006864
434850 24028 192370580
434850 432537 156307083
434850 135402 149298391
434850 462121 17369304
434850 454344 35623505
434850 107234 149983360
434850 343055 53969792
434850 221979 103269150
434850 133719 149296120
434850 349305 62860421
434850 252641 182876448
434850 410343 13339571
434850 350003 64079124
434850 183722 133494326
434850 25815 246782472
434850 146499 134520245
434850 331850 58700043
434850 437632 6716363
434850 359467 76785741
434850 53976 177251629
434850 38562 181597892
434850 63560 220168318
434850 364093 38956085
434850 125212 210770575
434850 465220 86997464
434850 353440 162798387
434850 261571 132590941
434850 281547 71513664
434850 465183 76585783
434850 28466 218002608
434850 418674 26141009
434850 99331 221809039
434850 187031 115542167
434850 245489 142166345
434850 66773 176725063
434850 15755 205561049
434850 152740 129121737
434850 485535 94280370
434850 343140 42845649
434850 139455 134797776
434850 145672 137652683
434850 92777 179763838
434850 266397 112217663
434850 342722 97153905
434850 99002 163297949
434850 148835 165699777
434850 423917 86990957
122181 260686 74866612
122181 219297 75275454
122181 24028 69768575
122181 432537 167438429
122181 135402 27288943
122181 462121 181470398
122181 454344 192666374
122181 107234 81827567
122181 343055 150411691
122181 221979 108130003
122181 133719 118970973
122181 349305 161960151
122181 252641 104128732
122181 410343 157443617
122181 350003 163178854
122181 183722 35104627
122181 25815 88899072
122181 146499 61440114
122181 331850 146748608
122181 437632 169028670
122181 359467 109014484
122181 53976 105909095
122181 38562 112709554
122181 63560 64015496
122181 364093 152742648
122181 125212 74768079
122181 465220 156483884
122181 353440 138799440
122181 261571 73955037
122181 281547 108345072
122181 465183 153135781
122181 28466 53235037
122181 418674 173772589
122181 99331 81563423
122181 187031 88196193
122181 245489 67677822
122181 66773 47298088
122181 15755 50899464
122181 152740 81272020
122181 485535 166910914
122181 343140 134670825
122181 139455 75211728
122181 145672 100544263
122181 92777 14543913
122181 266397 67735812
122181 342722 103300127
122181 99002 30945689
122181 148835 21741765
122181 423917 138902424
260686 219297 38782069
260686 24028 112428961
260686 432537 142822443
260686 135402 56494958
260686 462121 110100231
260686 454344 121296207
260686 107234 90879629
260686 343055 88577892
260686 221979 72156473
260686 133719 110271324
260686 349305 103794648
260686 252641 112856874
260686 410343 86073450
260686 350003 105013351
260686 183722 40563771
260686 25815 158936863
260686 146499 61768788
260686 331850 88081274
260686 437632 97658503
260686 359467 52700164
260686 53976 123153762
260686 38562 128860856
260686 63560 132322709
260686 364093 83299163
260686 125212 124336531
260686 465220 104806470
260686 353440 124127439
260686 261571 57243971
260686 281547 47994704
260686 465183 100836672
260686 28466 125886094
260686 418674 102402422
260686 99331 135374995
260686 187031 64914408
260686 245489 65061709
260686 66773 90407149
260686 15755 114264340
260686 152740 72397617
260686 485535 115233500
260686 343140 63887948
260686 139455 75388120
260686 145672 90121724
260686 92777 86833283
260686 266397 34782795
260686 342722 61400609
260686 99002 73422921
260686 148835 75140625
260686 423917 87225010
219297 24028 91747515
219297 432537 178341320
219297 135402 50918126
219297 462121 115284095
219297 454344 121977199
219297 107234 58304177
219297 343055 75136237
219297 221979 37948149
219297 133719 73658478
219297 349305 86684697
219297 252641 144447117
219297 410343 91257314
219297 350003 87903400
219297 183722 44132089
219297 25815 164038946
219297 146499 33897180
219297 331850 71473154
219297 437632 102842367
219297 359467 87091421
219297 53976 88377585
219297 38562 92723848
219297 63560 137770210
219297 364093 77874419
219297 125212 142611890
219297 465220 138941401
219297 353440 159307055
219297 261571 91706186
219297 281547 33476843
219297 465183 133254854
219297 28466 124043770
219297 418674 102657917
219297 99331 151263754
219297 187031 26188802
219297 245489 97297860
219297 66773 76244552
219297 15755 107180784
219297 152740 37928975
219297 485535 148561561
219297 343140 62220947
219297 139455 41005662
219297 145672 53984716
219297 92777 82964098
219297 266397 69245010
219297 342722 96919486
219297 99002 64917684
219297 148835 84175181
219297 423917 121616267
24028 432537 235254702
24028 135402 59302478
24028 462121 206647811
24028 454344 207025371
24028 107234 51845975
24028 343055 157895381
24028 221979 103872124
24028 133719 86836062
24028 349305 168018828
24028 252641 171945005
24028 410343 182621030
24028 350003 169237531
24028 183722 85338630
24028 25815 122739227
24028 146499 60502940
24028 331850 154232298
24028 437632 194206083
24028 359467 161636139
24028 53976 55423747
24028 38562 56338687
24028 63560 106785769
24028 364093 165034010
24028 125212 132359947
24028 465220 213742445
24028 353440 206615713
24028 261571 139988743
24028 281547 124447541
24028 465183 209772647
24028 28466 76070029
24028 418674 189311424
24028 99331 134831539
24028 187031 82661189
24028 245489 135494095
24028 66773 25898882
24028 15755 40464301
24028 152740 66819048
24028 485535 224169475
24028 343140 151773556
24028 139455 60688979
24028 145672 76410263
24028 92777 59249196
24028 266397 127665066
24028 342722 163229381
24028 99002 45613639
24028 148835 89558038
24028 423917 196160985
432537 135402 178339533
432537 462121 167268260
432537 454344 189552627
432537 107234 225635085
432537 343055 194374455
432537 221979 207547221
432537 133719 249149636
432537 349305 205996560
432537 252641 81514116
432537 410343 161114541
432537 350003 207215263
432537 183722 156945290
432537 25815 182643940
432537 146499 196524244
432537 331850 197819489
432537 437632 162476422
432537 359467 95620129
432537 53976 257909218
432537 38562 264524623
